ticks greenbelt-width greenbelt-position available-locations
 8 15 20 25 
 12 15 20 25 
 18 15 20 25 
 15 15 20 25 
 17 15 20 25 
 9 15 20 25 
 18 15 20 25 
 19 15 20 25 
 18 15 20 25 
 16 15 20 25 
 18 15 20 25 
 18 15 20 25 
 16 15 20 25 
 18 15 20 25 
 17 15 20 25 
 39 15 40 25 
 38 15 40 25 
 39 15 40 25 
 38 15 40 25 
 39 15 40 25 
 39 15 40 25 
 39 15 40 25 
 39 15 40 25 
 37 15 40 25 
 38 15 40 25 
 30 15 40 25 
 38 15 40 25 
 39 15 40 25 
 39 15 40 25 
 39 15 40 25 
 38 15 40 25 
 38 15 40 25 
 36 15 40 25 
 38 15 40 25 
 39 15 40 25 
 35 15 40 25 
 38 15 40 25 
 34 15 40 25 
 38 15 40 25 
 39 15 40 25 
 39 15 40 25 
 37 15 40 25 
 37 15 40 25 
 39 15 40 25 
 38 15 40 25 
