 ticks greenbelt-width aq asd greenbelt-position available-locations aq-distribution gb-influence center-outside 
 608 1 0 0 40 30 "uniform" false 3 
 592 1 0 0 40 30 "uniform" false 3 
 628 1 0 0 40 30 "uniform" false 5 
 599 1 0 0 40 30 "uniform" false 4 
 578 1 0 0 40 30 "uniform" false 2 
 601 1 0 0 40 30 "uniform" false 3 
 593 1 0 0 40 30 "uniform" false 2 
 604 1 0 0 40 30 "uniform" false 4 
 609 1 0 0 40 30 "uniform" false 3 
 610 1 0 0 40 30 "uniform" false 3 
 644 1 0 0 40 30 "uniform" false 2 
 606 1 0 0 40 30 "uniform" false 2 
 623 1 0 0 40 30 "uniform" false 3 
 593 1 0 0 40 45 "uniform" false 4 
 557 1 0 0 40 45 "uniform" false 2 
 573 1 0 0 40 45 "uniform" false 4 
 566 1 0 0 40 45 "uniform" false 2 
 573 1 0 0 40 45 "uniform" false 1 
 568 1 0 0 40 45 "uniform" false 1 
 570 1 0 0 40 45 "uniform" false 3 
 591 1 0 0 40 45 "uniform" false 4 
 564 1 0 0 40 45 "uniform" false 2 
 599 1 0 0 40 45 "uniform" false 3 
 549 1 0 0 40 45 "uniform" false 3 
 606 1 0 0 40 45 "uniform" false 3 
 586 1 0 0 40 45 "uniform" false 4 
 621 1 0 0 40 45 "uniform" false 4 
 572 1 0 0 40 45 "uniform" false 4 
 600 1 0 0 40 45 "uniform" false 5 
 593 1 0 0 40 45 "uniform" false 3 
 633 1 0 0 40 45 "uniform" false 1 
 592 1 0 0 40 45 "uniform" false 0 
 576 1 0 0 40 45 "uniform" false 4 
 577 1 0 0 40 45 "uniform" false 2 
 616 1 0 0 40 45 "uniform" false 0 
 581 1 0 0 40 45 "uniform" false 3 
 590 1 0 0 40 45 "uniform" false 2 
 619 1 0 0 40 45 "uniform" false 2 
 606 1 0 0 40 45 "uniform" false 1 
 629 1 0 0 40 45 "uniform" false 3 
 581 1 0 0 40 45 "uniform" false 4 
 616 1 0 0 40 45 "uniform" false 3 
 613 1 0 0 40 45 "uniform" false 2 
 390 15 0 0 20 15 "uniform" false 3 
 377 15 0 0 20 15 "uniform" false 2 
 393 15 0 0 20 15 "uniform" false 1 
 375 15 0 0 20 15 "uniform" false 2 
 375 15 0 0 20 15 "uniform" false 2 
 408 15 0 0 20 15 "uniform" false 3 
 387 15 0 0 20 15 "uniform" false 2 
 411 15 0 0 20 15 "uniform" false 3 
 388 15 0 0 20 15 "uniform" false 3 
 391 15 0 0 20 15 "uniform" false 3 
 415 15 0 0 20 15 "uniform" false 3 
 398 15 0 0 20 15 "uniform" false 3 
 413 15 0 0 20 15 "uniform" false 4 
 391 15 0 0 20 15 "uniform" false 0 
 394 15 0 0 20 15 "uniform" false 2 
 410 15 0 0 20 15 "uniform" false 3 
 398 15 0 0 20 15 "uniform" false 3 
 390 15 0 0 20 15 "uniform" false 1 
 384 15 0 0 20 15 "uniform" false 1 
 390 15 0 0 20 15 "uniform" false 3 
 417 15 0 0 20 15 "uniform" false 2 
 399 15 0 0 20 15 "uniform" false 3 
 403 15 0 0 20 15 "uniform" false 3 
 395 15 0 0 20 15 "uniform" false 3 
 421 15 0 0 20 15 "uniform" false 4 
 414 15 0 0 20 15 "uniform" false 3 
 403 15 0 0 20 15 "uniform" false 4 
 387 15 0 0 20 15 "uniform" false 3 
 410 15 0 0 20 15 "uniform" false 4 
 388 15 0 0 20 15 "uniform" false 3 
 376 15 0 0 20 30 "uniform" false 3 
 410 15 0 0 20 30 "uniform" false 2 
 374 15 0 0 20 30 "uniform" false 3 
 389 15 0 0 20 30 "uniform" false 2 
 396 15 0 0 20 30 "uniform" false 2 
 390 15 0 0 20 30 "uniform" false 3 
 378 15 0 0 20 30 "uniform" false 2 
 390 15 0 0 20 30 "uniform" false 3 
 378 15 0 0 20 30 "uniform" false 3 
 401 15 0 0 20 30 "uniform" false 4 
 391 15 0 0 20 30 "uniform" false 2 
 397 15 0 0 20 30 "uniform" false 2 
 405 15 0 0 20 30 "uniform" false 3 
 395 15 0 0 20 30 "uniform" false 3 
 410 15 0 0 20 30 "uniform" false 4 
 394 15 0 0 20 30 "uniform" false 3 
 404 15 0 0 20 30 "uniform" false 2 
 401 15 0 0 20 30 "uniform" false 2 
 394 15 0 0 20 30 "uniform" false 1 
 397 15 0 0 20 30 "uniform" false 2 
 402 15 0 0 20 30 "uniform" false 4 
 390 15 0 0 20 30 "uniform" false 2 
 403 15 0 0 20 30 "uniform" false 3 
 391 15 0 0 20 30 "uniform" false 2 
 405 15 0 0 20 30 "uniform" false 4 
 408 15 0 0 20 30 "uniform" false 3 
 405 15 0 0 20 30 "uniform" false 4 
 406 15 0 0 20 30 "uniform" false 3 
 401 15 0 0 20 30 "uniform" false 3 
 414 15 0 0 20 30 "uniform" false 2 
 390 15 0 0 20 45 "uniform" false 3 
 407 15 0 0 20 45 "uniform" false 2 
